股票代码,公司,PDF页码,记录类型,事件类型,日期,主体名称,证据摘要,来源文件,JSONL行号,是否有截图
001282,芜湖三联锻造股份有限公司,36,cross_check,flow_to_stock,,001282_CC_001,,cross_check_gold.jsonl,1,是
001282,芜湖三联锻造股份有限公司,36,equity_snapshot,,2019-01-01,t0|报告期初,"2018年11月整体变更为股份公司，注册资本8,150万元。报告期期初股本结构：孙国奉2,287万股(28.06%)、张一衡2,275万股(27.91%)、孙国敏2,275万股(27.91%)、高新同...",equity_snapshot_gold.jsonl,1,是
001282,芜湖三联锻造股份有限公司,36,share_transfer_flow,,,,"2018年11月，三联有限整体变更为股份有限公司，注册资本8,150万元。各股东按原持股比例转换为股份公司股份。",share_transfer_flow_gold.jsonl,30,是
001282,芜湖三联锻造股份有限公司,36,subscription_flow,增资,2019-12-04,三联合伙,"2019年12月4日，公司召开2019年第二次临时股东大会，审议通过《关于公司增资扩股的议案》，拟将注册资本由8,150万元增加至8,498万元。新增注册资本由新股东三联合伙以每股4.50元的价格认购...",subscription_flow_gold.jsonl,1,是
001282,芜湖三联锻造股份有限公司,37,equity_snapshot,,2019-12-17,t1|第一次增资后,"本次增资完成后，公司股本结构：孙国奉2,287万股(26.91%)、张一衡2,275万股(26.77%)、孙国敏2,275万股(26.77%)、高新同华1,150万股(13.53%)、三联合伙348万...",equity_snapshot_gold.jsonl,2,是
301563,云汉芯城（上海）互联网科技股份有限公司,58,cross_check,stock_internal,,301563_CC_002,,cross_check_gold.jsonl,17,是
301563,云汉芯城（上海）互联网科技股份有限公司,58,equity_snapshot,,2019-01-01,t0|报告期初,"报告期期初股权结构：曾烨1,605.93万元(34.93%)、刘云峰1,011.56万元(22.00%)、为赛咨询919.60万元(20.00%)、力源信息459.80万元(10.00%)、芜湖富拉3...",equity_snapshot_gold.jsonl,3,是
301563,云汉芯城（上海）互联网科技股份有限公司,58,equity_snapshot,,2018-04-28,s1|2018年4月第一次股权转让后,"2018年4月丰利财富将666,680股转让给天健创投后，股权结构：曾烨1,779.20万股(44.48%)等11名股东，合计4,000万股",equity_snapshot_gold.jsonl,26,是
301563,云汉芯城（上海）互联网科技股份有限公司,58,share_transfer_flow,,,,"2018年4月28日，丰利财富与天健创投签署股份转让协议，约定丰利财富将其持有的云汉芯城全部666,680股股份（占总股本的1.67%）转让给天健创投，转让价格系按照丰利财富2015年入股云汉有限时的...",share_transfer_flow_gold.jsonl,1,是
301563,云汉芯城（上海）互联网科技股份有限公司,59,share_transfer_flow,,,,"曾烨将其持有的发行人51.5万股股份转让予富海节能，转让价格为1,500万元，每股价格约为29.13元。",share_transfer_flow_gold.jsonl,2,是
301563,云汉芯城（上海）互联网科技股份有限公司,59,share_transfer_flow,,,,曾烨将其持有的发行人18.025万股股份转让予临港投资，转让价格为524.9994万元。,share_transfer_flow_gold.jsonl,3,是
301563,云汉芯城（上海）互联网科技股份有限公司,59,share_transfer_flow,,,,刘云锋将其持有的发行人9.4417万股股份转让予临港投资，转让价格为275.006万元。,share_transfer_flow_gold.jsonl,4,是
301563,云汉芯城（上海）互联网科技股份有限公司,59,share_transfer_flow,,,,"刘云锋将其持有的发行人36.9083万股股份转让予鸿迪投资，转让价格为1,075万元。",share_transfer_flow_gold.jsonl,5,是
301563,云汉芯城（上海）互联网科技股份有限公司,59,subscription_flow,增资,2018-06-12,国科瑞华,"2018年6月，国科瑞华以现金7,412万元认缴新增注册资本254.4787万元，增资价格约29.13元/注册资本。",subscription_flow_gold.jsonl,74,是
301563,云汉芯城（上海）互联网科技股份有限公司,59,subscription_flow,增资,2018-06-12,CASREV FUND,"2018年6月，CASREV FUND以1,800万元等值美元认缴新增注册资本61.8万元，增资价格约29.13元/注册资本。",subscription_flow_gold.jsonl,75,是
301563,云汉芯城（上海）互联网科技股份有限公司,59,subscription_flow,增资,2018-06-12,中科贵银,"2018年6月，中科贵银以现金1,584万元认缴新增注册资本54.384万元，增资价格约29.13元/注册资本。",subscription_flow_gold.jsonl,76,是
301563,云汉芯城（上海）互联网科技股份有限公司,59,subscription_flow,增资,2018-06-12,南山富海,"2018年6月，南山富海以现金3,000万元认缴新增注册资本103万元，增资价格约29.13元/注册资本。",subscription_flow_gold.jsonl,77,是
301563,云汉芯城（上海）互联网科技股份有限公司,59,subscription_flow,增资,2018-06-12,珠海拓域,"2018年6月，珠海拓域以现金1,000万元认缴新增注册资本34.3333万元，增资价格约29.13元/注册资本。",subscription_flow_gold.jsonl,78,是
301563,云汉芯城（上海）互联网科技股份有限公司,59,subscription_flow,增资,2018-06-12,夏东,2018年6月，夏东以现金204万元认缴新增注册资本7.004万元，增资价格约29.13元/注册资本。,subscription_flow_gold.jsonl,79,是
301563,云汉芯城（上海）互联网科技股份有限公司,59,subscription_flow,增资（股权激励）,2018-06-28,李文发,2018年6月，李文发以现金20万元认缴新增注册资本20万元，每股价格1元（股权激励）。,subscription_flow_gold.jsonl,80,是
301563,云汉芯城（上海）互联网科技股份有限公司,59,subscription_flow,增资（股权激励）,2018-06-28,秦国君,2018年6月，秦国君以现金20万元认缴新增注册资本20万元，每股价格1元（股权激励）。,subscription_flow_gold.jsonl,81,是
301563,云汉芯城（上海）互联网科技股份有限公司,59,subscription_flow,增资（股权激励）,2018-06-28,李剑峰,2018年6月，李剑峰以现金20万元认缴新增注册资本20万元，每股价格1元（股权激励）。,subscription_flow_gold.jsonl,82,是
301563,云汉芯城（上海）互联网科技股份有限公司,59,subscription_flow,增资（股权激励）,2018-06-28,周雪峰,2018年6月，周雪峰以现金60万元认缴新增注册资本60万元，每股价格1元（股权激励）。,subscription_flow_gold.jsonl,83,是
301563,云汉芯城（上海）互联网科技股份有限公司,60,cross_check,flow_to_stock,,301563_CC_001,,cross_check_gold.jsonl,2,是
301563,云汉芯城（上海）互联网科技股份有限公司,60,cross_check,flow_to_stock,,301563_CC_003,,cross_check_gold.jsonl,19,是
301563,云汉芯城（上海）互联网科技股份有限公司,60,equity_snapshot,,2019-11-04,t1|第一次增资后,"本次增资完成后，总股本5,368万元。曾烨1,605.93万元(29.92%)、刘云峰1,011.56万元(18.84%)、为赛咨询919.60万元(17.13%)、力源信息459.80万元(8.57...",equity_snapshot_gold.jsonl,4,是
301563,云汉芯城（上海）互联网科技股份有限公司,60,equity_snapshot,,2018-07-27,s2|2018年7月第一次增资后,2018年6-7月增资（国科瑞华254.4787万+CASREV FUND 61.8万+中科贵银54.384万+南山富海103万+珠海拓域34.3333万+夏东7.004万+员工激励120万=635万...,equity_snapshot_gold.jsonl,27,是
301563,云汉芯城（上海）互联网科技股份有限公司,60,subscription_flow,增资,2019-10-30,国科瑞华,"2019年10月30日，国科瑞华以货币方式出资5,000万元认购公司新增注册资本200万元，增资价格25元/股。",subscription_flow_gold.jsonl,2,是
301563,云汉芯城（上海）互联网科技股份有限公司,60,subscription_flow,增资,2019-10-30,CASREV,"2019年10月30日，CASREV以货币方式出资3,000万元认购公司新增注册资本120万元。",subscription_flow_gold.jsonl,3,是
301563,云汉芯城（上海）互联网科技股份有限公司,60,subscription_flow,增资,2019-10-30,中科贵银,"2019年10月30日，中科贵银以货币方式出资2,000万元认购公司新增注册资本80万元。",subscription_flow_gold.jsonl,4,是
301563,云汉芯城（上海）互联网科技股份有限公司,60,subscription_flow,增资,2019-10-30,镇江红土,"2019年10月30日，镇江红土以货币方式出资2,000万元认购公司新增注册资本80万元。",subscription_flow_gold.jsonl,5,是
301563,云汉芯城（上海）互联网科技股份有限公司,60,subscription_flow,增资,2019-10-30,深创投,"2019年10月30日，深创投以货币方式出资1,000万元认购公司新增注册资本40万元。",subscription_flow_gold.jsonl,6,是
301563,云汉芯城（上海）互联网科技股份有限公司,60,subscription_flow,增资,2019-10-30,昆山红土,2019年10月30日，昆山红土以货币方式出资500万元认购公司新增注册资本20万元。,subscription_flow_gold.jsonl,7,是
301563,云汉芯城（上海）互联网科技股份有限公司,60,subscription_flow,增资,2019-10-30,富海节能,2019年10月30日，富海节能以货币方式出资500万元认购公司新增注册资本20万元。,subscription_flow_gold.jsonl,8,是
301563,云汉芯城（上海）互联网科技股份有限公司,60,subscription_flow,增资,2019-10-30,杭州藤创,2019年10月30日，杭州藤创以货币方式出资250万元认购公司新增注册资本10万元。,subscription_flow_gold.jsonl,9,是
301563,云汉芯城（上海）互联网科技股份有限公司,61,share_transfer_flow,,,,2019年8月13日，为赛咨询与李文发签署《股份转让协议》，李文发以40万元的价格受让为赛咨询持有的发行人股份40万股。同时李文发从为赛咨询退伙。,share_transfer_flow_gold.jsonl,6,是
301563,云汉芯城（上海）互联网科技股份有限公司,61,share_transfer_flow,,,,2019年8月13日，为赛咨询与秦国君签署《股份转让协议》，秦国君以40万元的价格受让为赛咨询持有的发行人股份40万股。同时秦国君从为赛咨询退伙。,share_transfer_flow_gold.jsonl,7,是
301563,云汉芯城（上海）互联网科技股份有限公司,62,cross_check,flow_to_stock,,301563_CC_004,,cross_check_gold.jsonl,20,是
301563,云汉芯城（上海）互联网科技股份有限公司,62,equity_snapshot,,2020-05-28,s3|2020年5月第二次增资后,"2020年5月，火炬电子以5,000万元认购113.0488万股新增股份，增资价格约44.23元/股。注册资本由4,635万元增至4,748.0488万元。总估值约21亿元。",equity_snapshot_gold.jsonl,28,是
301563,云汉芯城（上海）互联网科技股份有限公司,62,subscription_flow,增资,2020-05-20,火炬电子,"2020年5月，火炬电子以现金5,000万元认购新增股份113.0488万股，增资价格约44.23元/股。投后估值约21亿元。",subscription_flow_gold.jsonl,84,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，曾烨将其持有的发行人480,000股股份转让予鸿迪投资，转让价格2,476.80万元，每股价格约51.6元。",share_transfer_flow_gold.jsonl,8,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，曾烨将其持有的发行人484,495股股份转让予郦韩英，转让价格2,499.99万元。",share_transfer_flow_gold.jsonl,9,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，刘云锋将其持有的发行人116,280股股份转让予福建开京，转让价格600万元。",share_transfer_flow_gold.jsonl,10,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，刘云锋将其持有的发行人85,000股股份转让予沈笑彦，转让价格438.60万元。",share_transfer_flow_gold.jsonl,11,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，刘云锋将其持有的发行人85,000股股份转让予衣嘉平，转让价格438.60万元。",share_transfer_flow_gold.jsonl,12,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，刘云锋将其持有的发行人85,000股股份转让予余满芬，转让价格438.60万元。",share_transfer_flow_gold.jsonl,13,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，刘云锋将其持有的发行人38,760股股份转让予崔振南，转让价格200万元。",share_transfer_flow_gold.jsonl,14,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，刘云锋将其持有的发行人85,000股股份转让予湘裕君源，转让价格438.60万元。",share_transfer_flow_gold.jsonl,15,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，李文发将其持有的发行人50,000股股份转让予湘裕君源，转让价格258万元。",share_transfer_flow_gold.jsonl,16,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,share_transfer_flow,,,,"2020年9月，秦国君将其持有的发行人150,000股股份转让予湘裕君源，转让价格774万元。",share_transfer_flow_gold.jsonl,17,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,subscription_flow,增资,2020-09-15,厦门西堤,"2020年9月，厦门西堤以5,000万元认购公司新增股份96.899万股，增资价格约51.6元/股。投后估值约25.2亿元。",subscription_flow_gold.jsonl,85,是
301563,云汉芯城（上海）互联网科技股份有限公司,63,subscription_flow,增资,2020-09-15,中小企业基金,"2020年9月，中小企业基金以2,000万元认购新增股份38.7596万股，增资价格约51.6元/股。",subscription_flow_gold.jsonl,86,是
301563,云汉芯城（上海）互联网科技股份有限公司,64,cross_check,flow_to_stock,,301563_CC_005,,cross_check_gold.jsonl,21,是
301563,云汉芯城（上海）互联网科技股份有限公司,64,cross_check,stock_internal,,301563_CC_006,,cross_check_gold.jsonl,22,是
301563,云汉芯城（上海）互联网科技股份有限公司,64,equity_snapshot,,2020-09-23,s4|2020年9月第三次增资后,"2020年9月，厦门西堤认购96.899万股、中小企业基金认购38.7596万股（价格约51.6元/股）。同时曾烨、刘云锋、李文发、秦国君转让约165.95万股。增资+转让后总股本4,883.7074...",equity_snapshot_gold.jsonl,29,是
301581,黄山谷捷股份有限公司,40,cross_check,flow_to_stock,,301581_CC_001,,cross_check_gold.jsonl,3,是
301581,黄山谷捷股份有限公司,40,equity_snapshot,,2012-06-01,t0|有限公司设立,"黄山谷捷散热科技有限公司设立，注册资本1,000万元，由昆山谷捷出资设立",equity_snapshot_gold.jsonl,5,是
301581,黄山谷捷股份有限公司,40,equity_snapshot,,2021-04-07,t1|第一次股权转让后,"2021年4月，谷捷有限吸收合并昆山谷捷，注册资本变为1,200万元，各股东持股比例不变。黄山供销集团78%、张俊武11%、周斌11%",equity_snapshot_gold.jsonl,6,是
301581,黄山谷捷股份有限公司,40,share_transfer_flow,,,,2021年4月3日，昆山谷捷将其所持谷捷有限78%股权以零对价转让给黄山供销集团。本次股权转让完成后，昆山谷捷不再持有发行人股权。,share_transfer_flow_gold.jsonl,18,是
301581,黄山谷捷股份有限公司,40,subscription_flow,增资（吸收合并）,2021-04-03,昆山谷捷（吸收合并）,"2021年4月，谷捷有限吸收合并昆山谷捷，注册资本由1,000万元增至1,200万元。",subscription_flow_gold.jsonl,10,是
301581,黄山谷捷股份有限公司,42,cross_check,flow_to_stock,,301581_CC_002,,cross_check_gold.jsonl,4,是
301581,黄山谷捷股份有限公司,42,equity_snapshot,,2021-11-11,t2|第一次增资后,本次增资完成后，黄山供销集团936万元(54.60%)、赛格高技术462.8571万元(27.00%)、张俊武132万元(7.70%)、周斌132万元(7.70%)、上汽科技51.4286万元(3.0...,equity_snapshot_gold.jsonl,7,是
301581,黄山谷捷股份有限公司,42,subscription_flow,增资,2021-09-18,赛格高技术,2021年9月18日，赛格高技术与谷捷有限签署增资协议，认缴462.8571万元新增注册资本，增资价格为22.42元/注册资本。,subscription_flow_gold.jsonl,11,是
301581,黄山谷捷股份有限公司,43,share_transfer_flow,,,,2021年4月3日，昆山谷捷将其所持谷捷有限11%股权以零对价转让给张俊武。,share_transfer_flow_gold.jsonl,19,是
301581,黄山谷捷股份有限公司,43,share_transfer_flow,,,,2021年4月3日，昆山谷捷将其所持谷捷有限11%股权以零对价转让给周斌。,share_transfer_flow_gold.jsonl,20,是
301581,黄山谷捷股份有限公司,43,subscription_flow,增资,2021-09-18,上汽科技,2021年9月18日，上汽科技与谷捷有限签署增资协议，认缴51.4286万元新增注册资本，增资价格为22.42元/注册资本。,subscription_flow_gold.jsonl,12,是
301581,黄山谷捷股份有限公司,44,cross_check,flow_to_stock,,301581_CC_003,,cross_check_gold.jsonl,5,是
301581,黄山谷捷股份有限公司,44,equity_snapshot,,2022-05-26,t3|第二次增资后,本次增资完成后，黄山供销集团936万元(51.87%)、赛格高技术462.8571万元(25.65%)、张俊武132万元(7.315%)、周斌132万元(7.315%)、黄山佳捷90.2256万元(5...,equity_snapshot_gold.jsonl,8,是
301581,黄山谷捷股份有限公司,44,subscription_flow,增资,2022-05-24,黄山佳捷,2022年5月24日，谷捷有限与黄山佳捷签署增资扩股协议，新增注册资本90.2256万元由黄山佳捷全额认缴，增资价格为23.55元/注册资本。,subscription_flow_gold.jsonl,13,是
603418,上海友升铝业股份有限公司,43,cross_check,flow_to_stock,,603418_CC_001,,cross_check_gold.jsonl,6,是
603418,上海友升铝业股份有限公司,43,equity_snapshot,,2020-09-18,t0+｜整体变更后,"整体变更后，友升股份的股权结构如下：泽升贸易8,976.00万股(74.80%)、达晨创联基金1,800.00万股(15.00%)、共青城泽升1,020.00万股(8.50%)、罗世兵204.00万股...",equity_snapshot_gold.jsonl,10,是
603418,上海友升铝业股份有限公司,43,share_transfer_flow,,,,"2020年9月18日，友升有限整体变更为股份有限公司，以截至2020年7月31日经审计的净资产10,950.2788万元折合为股本12,000万股，每股面值1元。各股东按原持股比例转换为股份公司股份，...",share_transfer_flow_gold.jsonl,29,是
603418,上海友升铝业股份有限公司,43,subscription_flow,整体变更,2020-09-18,整体变更折股,"2020年9月18日，友升有限整体变更为股份有限公司，以截至2020年7月31日经审计的净资产10,950.28万元折合为股本12,000万股，每股面值1元，净资产超出股本部分计入资本公积。",subscription_flow_gold.jsonl,14,是
603418,上海友升铝业股份有限公司,44,cross_check,flow_to_stock,,603418_CC_002,,cross_check_gold.jsonl,7,是
603418,上海友升铝业股份有限公司,44,equity_snapshot,,2020-01-01,t0｜报告期初,"报告期初，友升有限的股权结构如下：泽升贸易出资8,190.8086万元(74.80%)、达晨创联基金出资1,642.5418万元(15.00%)、共青城泽升出资930.7737万元(8.50%)、罗世...",equity_snapshot_gold.jsonl,9,是
603418,上海友升铝业股份有限公司,44,equity_snapshot,,2020-09-30,t1｜2020-09-30增资后,"本次增资后股权结构如下：泽升贸易8,976.00万股(67.09%)、达晨创联基金1,800.00万股(13.45%)、共青城泽升1,020.00万股(7.62%)、罗世兵204.00万股(1.52%...",equity_snapshot_gold.jsonl,11,是
603418,上海友升铝业股份有限公司,44,subscription_flow,增资,2020-09-27,金浦临港基金,"2020年9月27日，金浦临港基金以7,000万元认购新增注册资本840万元。",subscription_flow_gold.jsonl,15,是
603418,上海友升铝业股份有限公司,44,subscription_flow,增资,2020-09-27,金浦科创基金,"2020年9月27日，金浦科创基金以3,000万元认购新增注册资本360万元。",subscription_flow_gold.jsonl,16,是
603418,上海友升铝业股份有限公司,44,subscription_flow,增资,2020-09-27,上海骁墨,"2020年9月27日，上海骁墨以1,500万元认购新增注册资本180万元。",subscription_flow_gold.jsonl,17,是
603418,上海友升铝业股份有限公司,45,cross_check,flow_to_stock,,603418_CC_003,,cross_check_gold.jsonl,8,是
603418,上海友升铝业股份有限公司,45,equity_snapshot,,2022-12-19,t2｜2022-12-19增资后,"本次增资后，公司总股本为14,480.1333万股",equity_snapshot_gold.jsonl,12,是
603418,上海友升铝业股份有限公司,45,subscription_flow,增资,2022-12-19,杉晖创业,"2022年12月19日，杉晖创业认购297.3333万股新增股本，认购金额10,000万元。",subscription_flow_gold.jsonl,18,是
603418,上海友升铝业股份有限公司,45,subscription_flow,增资,2022-12-19,上海联炻,"2022年12月19日，上海联炻认购297.3333万股新增股本，认购金额10,000万元。",subscription_flow_gold.jsonl,19,是
